AoA	Cl	Cd
-20.1,	-0.55,	0.2983
-18.2,	-0.65,	0.2955
-16.2,	-0.8,	0.1826
-14.1,	-0.79,	0.0793
-12.1,	-0.7,	0.0547
-10.2,	-0.63,	0.0401
-8.2,	-0.58,	0.0266
-6.2,	-0.61,	0.0183
-4.1,	-0.4,	0.0004
-2.1,	-0.16,	0.0009
0.0,	0.07,	0.0022
2.1,	0.3,	0.0037
4.1,	0.55,	0.005
6.1,	0.79,	0.0063
8.2,	0.9,	0.0096
10.1,	0.94,	0.0231
11.2,	0.93,	0.0236
12.2,	0.97,	0.0368
13.3,	1.0,	0.0551
14.2,	1.02,	0.0618
15.2,	1.03,	0.0705
16.2,	1.01,	0.088
17.2,	0.95,	0.1043
18.1,	0.9,	0.1325
19.2,	0.78,	0.3474
20.0,	0.67,	0.3211
22.1,	0.7,	0.3699
24.0,	0.77,	0.4348
26.1,	0.91,	0.5356
28.1,	0.99,	0.6192
30.0,	1.06,	0.7025
32.1,	1.11,	0.7916
34.1,	1.18,	0.8963
36.0,	1.21,	0.9737
38.1,	1.24,	1.0627
39.9,	1.26,	1.1509
