Sample No, Time (sec), AOA (deg), Cl, Cdp, Cm
1, 0.000, 2.4, 0.39, 0.0119, -0.0447
2, 0.046, 3.9, 0.49, 0.0053, -0.0424
3, 0.093, 5.0, 0.69, 0.0106, -0.0568
4, 0.139, 6.7, 0.87, 0.0144, -0.0639
5, 0.186, 8.7, 1.01, 0.0208, -0.0571
6, 0.232, 10.5, 1.14, 0.0292, -0.0497
7, 0.278, 12.4, 1.18, 0.0464, -0.0593
8, 0.325, 14.8, 1.15, 0.0705, -0.0546
9, 0.371, 16.1, 1.18, 0.0891, -0.0614
10, 0.418, 18.1, 1.17, 0.1403, -0.0815
11, 0.464, 19.3, 1.02, 0.2590, -0.1507
12, 0.511, 20.9, 0.91, 0.2462, -0.1170
13, 0.557, 22.0, 0.80, 0.2733, -0.1107
14, 0.603, 22.4, 0.89, 0.3606, -0.0953
15, 0.650, 23.0, 1.23, 0.6268, -0.2742
16, 0.696, 23.0, 0.94, 0.4878, -0.1834
17, 0.743, 23.0, 0.84, 0.4429, -0.1535
18, 0.789, 23.1, 0.78, 0.4340, -0.1468
19, 0.835, 23.0, 0.75, 0.4052, -0.1402
20, 0.882, 22.0, 0.72, 0.3811, -0.1291
21, 0.928, 20.5, 0.67, 0.3307, -0.1141
22, 0.975, 19.0, 0.56, 0.2595, -0.0845
23, 1.021, 17.2, 0.63, 0.1100, -0.0221
24, 1.067, 15.5, 0.90, 0.0707, -0.0207
25, 1.114, 13.5, 0.94, 0.0510, -0.0279
26, 1.160, 11.4, 0.91, 0.0290, -0.0284
27, 1.207, 9.8, 0.84, 0.0210, -0.0213
28, 1.253, 8.1, 0.74, 0.0125, -0.0173
29, 1.299, 6.4, 0.77, 0.0098, -0.0401
30, 1.346, 5.0, 0.70, 0.0094, -0.0503
31, 1.392, 4.0, 0.58, 0.0036, -0.0531
32, 1.439, 2.9, 0.45, -0.0002, -0.0399
33, 1.485, 2.5, 0.40, 0.0043, -0.0401
34, 1.532, 2.2, 0.37, -0.0012, -0.0400
35, 1.578, 2.3, 0.42, 0.0012, -0.0598
36, 1.624, 2.3, 0.36, -0.0034, -0.0399
37, 1.671, 2.9, 0.41, 0.0090, -0.0497
38, 1.717, 5.1, 0.49, 0.0154, -0.0439
39, 1.764, 5.5, 0.67, 0.0110, -0.0504
40, 1.810, 6.8, 0.92, 0.0135, -0.0703
41, 1.856, 9.1, 1.03, 0.0306, -0.0578
42, 1.903, 10.8, 1.14, 0.0335, -0.0489
43, 1.949, 12.9, 1.21, 0.0580, -0.0736
44, 1.996, 14.5, 1.21, 0.0660, -0.0612
45, 2.042, 16.7, 1.21, 0.1011, -0.0667
46, 2.088, 18.2, 1.15, 0.1392, -0.0770
47, 2.135, 19.8, 1.05, 0.2117, -0.1029
48, 2.181, 20.9, 0.93, 0.2639, -0.1352
49, 2.228, 22.0, 0.90, 0.2912, -0.1299
50, 2.274, 22.9, 1.46, 0.5329, -0.1567
51, 2.320, 23.5, 1.04, 0.5549, -0.2198
52, 2.367, 23.4, 0.76, 0.4214, -0.1437
53, 2.413, 23.0, 0.75, 0.4121, -0.1394
54, 2.460, 23.0, 0.84, 0.4493, -0.1680
55, 2.506, 23.0, 0.82, 0.4356, -0.1571
56, 2.553, 21.8, 0.76, 0.3880, -0.1384
57, 2.599, 20.3, 0.70, 0.3332, -0.1180
58, 2.645, 18.7, 0.66, 0.2788, -0.0994
59, 2.692, 16.9, 0.67, 0.1692, -0.0785
60, 2.738, 15.1, 0.97, 0.0758, -0.0400
61, 2.785, 12.9, 0.93, 0.0401, -0.0255
62, 2.831, 11.2, 0.86, 0.0291, -0.0238
63, 2.877, 9.2, 0.80, 0.0203, -0.0183
64, 2.924, 8.1, 0.75, 0.0178, -0.0191
65, 2.970, 6.0, 0.78, 0.0043, -0.0487
66, 3.017, 4.8, 0.69, 0.0047, -0.0560
67, 3.063, 3.7, 0.52, 0.0030, -0.0382
68, 3.109, 2.9, 0.49, 0.0018, -0.0560
69, 3.156, 2.3, 0.39, -0.0052, -0.0453
70, 3.202, 2.3, 0.37, -0.0014, -0.0419
71, 3.249, 2.3, 0.36, 0.0024, -0.0393
72, 3.295, 2.4, 0.38, 0.0054, -0.0459
73, 3.342, 2.9, 0.45, 0.0060, -0.0537
74, 3.388, 3.9, 0.55, 0.0038, -0.0496
75, 3.434, 5.5, 0.76, 0.0151, -0.0659
76, 3.481, 7.1, 0.92, 0.0179, -0.0618
77, 3.527, 9.2, 1.06, 0.0219, -0.0575
78, 3.574, 11.1, 1.15, 0.0333, -0.0515
79, 3.620, 13.0, 1.18, 0.0545, -0.0568
80, 3.666, 15.1, 1.18, 0.0747, -0.0586
81, 3.713, 16.7, 1.14, 0.0931, -0.0565
82, 3.759, 18.2, 1.14, 0.1519, -0.0889
83, 3.806, 19.8, 0.97, 0.2540, -0.1289
84, 3.852, 21.2, 0.95, 0.2542, -0.1175
85, 3.898, 22.2, 0.86, 0.2796, -0.1205
86, 3.945, 23.0, 1.36, 0.4574, -0.0752
87, 3.991, 23.0, 1.22, 0.6085, -0.2421
88, 4.038, 23.0, 0.90, 0.4696, -0.1728
89, 4.084, 23.0, 0.86, 0.4599, -0.1715
90, 4.130, 23.0, 0.89, 0.4580, -0.1655
91, 4.177, 22.5, 0.80, 0.4154, -0.1462
92, 4.223, 21.4, 0.71, 0.3728, -0.1305
93, 4.270, 19.9, 0.66, 0.3241, -0.1207
94, 4.316, 18.3, 0.56, 0.2505, -0.0848
95, 4.363, 16.7, 0.72, 0.2420, -0.1152
96, 4.409, 14.4, 0.92, 0.0767, -0.0578
97, 4.455, 13.0, 0.87, 0.0361, -0.0127
98, 4.502, 10.8, 0.84, 0.0182, -0.0125
99, 4.548, 9.2, 0.81, 0.0166, -0.0240
100, 4.595, 7.2, 0.74, 0.0089, -0.0251
101, 4.641, 5.8, 0.75, 0.0073, -0.0452
102, 4.687, 4.9, 0.64, 0.0069, -0.0468
103, 4.734, 3.4, 0.52, 0.0055, -0.0388
104, 4.780, 2.9, 0.46, 0.0031, -0.0490
105, 4.827, 2.3, 0.39, 0.0010, -0.0425
106, 4.873, 2.3, 0.38, -0.0026, -0.0440
107, 4.919, 2.3, 0.41, -0.0016, -0.0519
108, 4.966, 2.3, 0.40, 0.0080, -0.0474
109, 5.012, 3.0, 0.41, 0.0056, -0.0371
110, 5.059, 4.5, 0.60, 0.0120, -0.0558
111, 5.105, 6.1, 0.75, 0.0032, -0.0514
112, 5.152, 7.6, 0.95, 0.0160, -0.0595
113, 5.198, 9.8, 1.10, 0.0267, -0.0566
114, 5.244, 11.4, 1.19, 0.0350, -0.0600
115, 5.291, 13.5, 1.15, 0.0562, -0.0603
116, 5.337, 15.3, 1.15, 0.0670, -0.0441
117, 5.384, 17.2, 1.17, 0.1040, -0.0620
118, 5.430, 18.8, 1.14, 0.1617, -0.0860
119, 5.476, 20.4, 0.96, 0.2681, -0.1455
120, 5.523, 21.5, 0.92, 0.2605, -0.1157
