Sample No, Time (sec), AOA (deg), Cl, Cdp, Cm
1, 0.000, 15.1, 0.76, 0.0887, -0.0320
2, 0.046, 15.1, 0.80, 0.0927, -0.0428
3, 0.093, 16.0, 0.78, 0.1144, -0.0528
4, 0.139, 16.2, 0.86, 0.1392, -0.0673
5, 0.186, 16.9, 0.80, 0.2126, -0.1045
6, 0.232, 17.7, 0.81, 0.2272, -0.1093
7, 0.278, 18.8, 0.87, 0.2546, -0.1091
8, 0.325, 19.9, 0.85, 0.3118, -0.1322
9, 0.371, 20.7, 1.07, 0.3738, -0.1853
10, 0.418, 21.7, 0.89, 0.3672, -0.1460
11, 0.464, 22.5, 0.85, 0.3514, -0.1073
12, 0.511, 22.8, 0.99, 0.4955, -0.1862
13, 0.557, 23.6, 0.90, 0.4831, -0.1808
14, 0.603, 24.1, 0.97, 0.4922, -0.1783
15, 0.650, 24.6, 0.79, 0.4426, -0.1470
16, 0.696, 24.9, 0.86, 0.4515, -0.1460
17, 0.743, 24.9, 0.88, 0.4828, -0.1582
18, 0.789, 24.9, 0.81, 0.4530, -0.1542
19, 0.835, 24.8, 0.88, 0.4925, -0.1650
20, 0.882, 24.3, 0.88, 0.4720, -0.1564
21, 0.928, 24.6, 0.93, 0.4782, -0.1600
22, 0.975, 23.9, 0.90, 0.4105, -0.1396
23, 1.021, 23.1, 0.96, 0.3778, -0.1251
24, 1.067, 21.9, 0.94, 0.3278, -0.1287
25, 1.114, 20.8, 0.92, 0.3376, -0.1330
26, 1.160, 19.8, 0.83, 0.3204, -0.1381
27, 1.207, 19.3, 0.74, 0.2912, -0.1237
28, 1.253, 18.3, 0.67, 0.1919, -0.0797
29, 1.299, 17.7, 0.81, 0.1930, -0.0889
30, 1.346, 16.9, 0.80, 0.1340, -0.0495
31, 1.392, 16.1, 0.85, 0.1110, -0.0422
32, 1.439, 15.6, 0.89, 0.0975, -0.0337
33, 1.485, 15.5, 0.92, 0.0937, -0.0384
34, 1.532, 14.7, 0.88, 0.0817, -0.0307
35, 1.578, 15.0, 0.95, 0.0955, -0.0417
