RNodes,AeroTwst,DRNodes,Chord,NFoil,PrnElm
2.8667,13.308,2.7333,3.542,1,NOPRINT
5.6,13.308,2.7333,3.854,1,NOPRINT
8.3333,13.308,2.7333,4.167,2,NOPRINT
11.75,13.308,4.1,4.557,3,NOPRINT
15.85,11.48,4.1,4.652,4,NOPRINT
19.95,10.162,4.1,4.458,4,NOPRINT
24.05,9.011,4.1,4.249,5,NOPRINT
28.15,7.795,4.1,4.007,6,NOPRINT
32.25,6.544,4.1,3.748,6,NOPRINT
36.35,5.361,4.1,3.502,7,NOPRINT
40.45,4.188,4.1,3.256,7,NOPRINT
44.55,3.125,4.1,3.01,8,NOPRINT
48.65,2.319,4.1,2.764,8,NOPRINT
52.75,1.526,4.1,2.518,8,NOPRINT
56.1667,0.863,2.7333,2.313,8,NOPRINT
58.9,0.37,2.7333,2.086,8,NOPRINT
61.6333,0.106,2.7333,1.419,8,NOPRINT
