BlSpn,BlCrvAC,BlSwpAC,BlCrvAng,BlTwist,BlChord,BlAFID
1.3667,-0.00081531745,-0.0034468858,0,13.308,3.542,1
4.1,-0.02483979,-0.10501421,0,13.308,3.854,1
6.8333,-0.059469375,-0.25141635,0,13.308,4.167,2
10.25,-0.10909141,-0.46120149,0,13.308,4.557,3
14.35,-0.11573354,-0.56986665,0,11.48,4.652,4
18.45,-0.098316709,-0.54850833,0,10.162,4.458,4
22.55,-0.083186967,-0.52457001,0,9.011,4.249,5
26.65,-0.067933232,-0.49624675,0,7.795,4.007,6
30.75,-0.053393159,-0.46544755,0,6.544,3.748,6
34.85,-0.04089926,-0.43583519,0,5.361,3.502,7
38.95,-0.029722933,-0.40591323,0,4.188,3.256,7
43.05,-0.020511081,-0.37569051,0,3.125,3.01,8
47.15,-0.013980013,-0.34521705,0,2.319,2.764,8
51.25,-0.0083819737,-0.31463837,0,1.526,2.518,8
54.6667,-0.0043546914,-0.2890922,0,0.863,2.313,8
57.4,-0.0016838383,-0.26074456,0,0.37,2.086,8
60.1333,-0.00032815226,-0.1773747,0,0.106,1.419,8
61.4999,-0.00032815226,-0.1773747,0,0.106,1.419,8
